session_id,user_id,search_date,query_category,query_length_words,results_returned,zero_results,clicked_result,successful_search,time_to_first_click_seconds,clicked_rank,watch_minutes_after_search,search_error
SES0000059,USR00008,2026-05-09,Shopping,3,25,0,1,0,2.9,4,0.18,0
SES0000060,USR00009,2026-05-10,Music,5,26,0,0,0,,,0.0,0
SES0000061,USR00009,2026-05-25,How-to,2,18,0,1,1,18.7,1,10.26,0
SES0000062,USR00009,2026-05-18,How-to,2,15,0,0,0,,,0.0,0
SES0000063,USR00009,2026-05-07,How-to,4,18,0,1,1,16.9,6,16.22,0
SES0000064,USR00009,2026-05-26,News,7,23,0,0,0,,,0.0,0
SES0000065,USR00009,2026-05-15,Shopping,4,14,0,1,1,19.7,1,10.5,0
SES0000066,USR00009,2026-05-17,Entertainment,3,22,0,1,1,16.1,1,12.16,0
SES0000067,USR00009,2026-05-01,How-to,3,25,0,0,0,,,0.0,0
SES0000068,USR00009,2026-05-01,How-to,5,23,0,0,0,,,0.0,0
SES0000069,USR00009,2026-05-28,Shopping,3,16,0,1,0,6.8,1,0.85,0
SES0000070,USR00009,2026-05-20,How-to,5,22,0,0,0,,,0.0,0
SES0000071,USR00009,2026-05-02,Shopping,3,21,0,1,1,12.8,1,5.68,0
SES0000072,USR00009,2026-05-12,How-to,4,15,0,0,0,,,0.0,0
SES0000073,USR00010,2026-05-10,How-to,4,17,0,1,1,9.8,2,4.41,0
SES0000074,USR00010,2026-05-16,Music,4,23,0,1,1,28.0,1,3.87,0
SES0000075,USR00010,2026-05-25,Entertainment,5,14,0,1,1,9.0,1,3.9,0
SES0000076,USR00010,2026-05-22,How-to,5,25,0,1,1,6.9,1,15.77,0
SES0000077,USR00010,2026-05-04,Shopping,7,22,0,0,0,,,0.0,0
SES0000078,USR00010,2026-05-27,How-to,1,18,0,0,0,,,0.0,0
SES0000079,USR00011,2026-05-13,News,6,0,1,0,0,,,0.0,0
SES0000080,USR00011,2026-05-02,Music,3,0,1,0,0,,,0.0,0
SES0000081,USR00011,2026-05-19,Music,6,0,1,0,0,,,0.0,0
SES0000082,USR00011,2026-05-02,Music,3,14,0,0,0,,,0.0,0
SES0000083,USR00011,2026-05-08,Entertainment,6,13,0,0,0,,,0.0,0
SES0000084,USR00011,2026-05-02,How-to,6,16,0,0,0,,,0.0,0
SES0000085,USR00011,2026-05-06,How-to,3,19,0,1,1,15.8,1,9.15,0
SES0000086,USR00011,2026-05-19,Shopping,2,21,0,0,0,,,0.0,0
SES0000087,USR00011,2026-05-04,How-to,3,18,0,1,1,13.1,2,10.15,0
SES0000088,USR00012,2026-05-17,How-to,1,15,0,0,0,,,0.0,0
SES0000089,USR00012,2026-05-24,Music,3,29,0,1,1,7.1,1,7.59,0
SES0000090,USR00012,2026-05-06,How-to,4,24,0,1,1,8.0,2,6.58,0
SES0000091,USR00012,2026-05-20,News,4,22,0,1,1,8.2,3,5.68,0
SES0000092,USR00012,2026-05-06,Entertainment,5,18,0,1,1,9.4,1,5.54,0
SES0000093,USR00012,2026-05-02,Shopping,1,15,0,1,1,5.1,2,5.16,0
SES0000094,USR00012,2026-05-24,Entertainment,5,25,0,1,1,11.4,1,18.01,0
SES0000095,USR00013,2026-05-14,How-to,6,15,0,0,0,,,0.0,0
SES0000096,USR00013,2026-05-11,How-to,3,18,0,1,1,14.7,7,7.34,0
SES0000097,USR00013,2026-05-25,News,4,25,0,0,0,,,0.0,0
SES0000098,USR00013,2026-05-27,Entertainment,6,16,0,1,1,7.8,1,4.59,0
SES0000099,USR00013,2026-05-07,Entertainment,2,20,0,0,0,,,0.0,0
SES0000100,USR00013,2026-05-19,Entertainment,5,24,0,1,1,10.4,2,5.19,0
SES0000101,USR00013,2026-05-15,How-to,2,0,1,0,0,,,0.0,0
SES0000102,USR00013,2026-05-09,News,5,12,0,1,1,13.4,1,10.88,0
SES0000103,USR00013,2026-05-07,Entertainment,1,21,0,1,0,17.3,2,1.8,0
SES0000104,USR00014,2026-05-19,Entertainment,6,0,1,0,0,,,0.0,0
SES0000105,USR00014,2026-05-12,Music,1,0,1,0,0,,,0.0,0
SES0000106,USR00014,2026-05-14,Entertainment,4,21,0,0,0,,,0.0,0
SES0000107,USR00014,2026-05-27,Shopping,1,23,0,0,0,,,0.0,0
SES0000108,USR00014,2026-05-27,Music,3,21,0,1,1,15.7,1,24.25,0
SES0000109,USR00014,2026-05-03,Entertainment,3,18,0,1,1,17.7,2,4.17,0
SES0000110,USR00014,2026-05-15,Entertainment,1,23,0,0,0,,,0.0,0
SES0000111,USR00014,2026-05-16,How-to,8,22,0,1,1,16.8,2,12.38,0
SES0000112,USR00015,2026-05-24,How-to,2,22,0,1,0,24.6,2,0.82,0
SES0000113,USR00015,2026-05-08,Music,5,19,0,1,1,10.5,1,6.26,0
SES0000114,USR00015,2026-05-10,Entertainment,6,14,0,0,0,,,0.0,0
SES0000115,USR00015,2026-05-03,Entertainment,3,0,1,0,0,,,0.0,0
SES0000116,USR00015,2026-05-27,Entertainment,7,22,0,0,0,,,0.0,0
SES0000117,USR00015,2026-05-24,Entertainment,3,19,0,1,1,29.5,1,6.03,0
SES0000118,USR00016,2026-05-14,Entertainment,6,20,0,1,1,14.0,2,9.67,0
SES0000119,USR00016,2026-05-15,How-to,2,22,0,0,0,,,0.0,0
SES0000120,USR00016,2026-05-16,Shopping,7,0,1,0,0,,,0.0,0
SES0000121,USR00016,2026-05-04,How-to,7,25,0,1,1,13.8,4,3.39,0
SES0000122,USR00016,2026-05-09,Entertainment,3,19,0,0,0,,,0.0,0
SES0000123,USR00017,2026-05-03,Entertainment,6,0,1,0,0,,,0.0,0
SES0000124,USR00017,2026-05-06,Shopping,3,21,0,1,1,11.2,12,4.04,0
SES0000125,USR00017,2026-05-13,How-to,5,13,0,1,1,16.0,3,24.67,0
SES0000126,USR00017,2026-05-14,News,2,14,0,1,1,14.5,2,6.3,0
SES0000127,USR00017,2026-05-11,News,3,17,0,1,0,7.5,8,1.5,0
SES0000128,USR00017,2026-05-23,How-to,1,23,0,1,1,8.8,3,10.83,0
SES0000129,USR00017,2026-05-26,Entertainment,4,20,0,0,0,,,0.0,0
SES0000130,USR00017,2026-05-17,Entertainment,6,19,0,0,0,,,0.0,0
SES0000131,USR00018,2026-05-21,Entertainment,7,23,0,0,0,,,0.0,0
SES0000132,USR00018,2026-05-01,How-to,4,18,0,0,0,,,0.0,0
SES0000133,USR00018,2026-05-16,Music,8,23,0,1,1,7.2,1,4.33,0
SES0000134,USR00019,2026-05-02,Entertainment,3,29,0,1,1,14.4,2,3.34,0
SES0000135,USR00019,2026-05-06,Entertainment,2,20,0,0,0,,,0.0,0
SES0000136,USR00019,2026-05-02,Entertainment,2,0,1,0,0,,,0.0,0
SES0000137,USR00020,2026-05-16,How-to,3,16,0,1,1,6.6,5,6.68,0
SES0000138,USR00020,2026-05-16,Entertainment,4,14,0,1,0,12.5,10,0.94,0
SES0000139,USR00020,2026-05-20,Music,5,27,0,1,1,6.0,7,5.03,0
SES0000140,USR00020,2026-05-07,Entertainment,3,22,0,0,0,,,0.0,0
SES0000141,USR00020,2026-05-22,How-to,3,25,0,0,0,,,0.0,0
SES0000142,USR00021,2026-05-16,Entertainment,5,16,0,1,1,5.9,4,3.54,0
SES0000143,USR00021,2026-05-16,Entertainment,2,20,0,0,0,,,0.0,0
SES0000144,USR00021,2026-05-24,Entertainment,2,12,0,1,0,6.8,2,1.72,0
SES0000145,USR00021,2026-05-23,Music,4,16,0,0,0,,,0.0,0
SES0000146,USR00022,2026-05-23,News,4,24,0,0,0,,,0.0,0
SES0000147,USR00022,2026-05-20,Entertainment,2,27,0,1,0,4.5,3,1.84,0
SES0000148,USR00022,2026-05-24,News,2,18,0,0,0,,,0.0,0
SES0000149,USR00022,2026-05-02,Entertainment,6,15,0,1,1,11.4,3,6.96,0
SES0000150,USR00022,2026-05-13,How-to,4,14,0,1,1,5.0,7,15.56,0
SES0000151,USR00022,2026-05-13,Entertainment,5,20,0,1,1,10.3,4,14.42,0
SES0000152,USR00022,2026-05-14,How-to,3,0,1,0,0,,,0.0,0
SES0000153,USR00022,2026-05-09,Shopping,2,20,0,1,1,24.9,4,2.7,0
SES0000154,USR00023,2026-05-26,Shopping,5,18,0,1,1,30.8,2,4.98,0
SES0000155,USR00023,2026-05-04,News,5,21,0,1,1,12.5,1,2.53,0
SES0000156,USR00023,2026-05-26,News,5,16,0,1,1,15.3,1,11.84,0
SES0000157,USR00023,2026-05-15,Music,4,24,0,0,0,,,0.0,0
SES0000158,USR00023,2026-05-02,How-to,4,20,0,1,0,36.4,9,1.96,0
SES0000159,USR00023,2026-05-12,News,3,25,0,1,0,7.2,1,0.97,0
SES0000160,USR00024,2026-05-07,News,5,13,0,1,0,3.3,1,1.73,0
SES0000161,USR00024,2026-05-24,News,3,23,0,0,0,,,0.0,0
SES0000162,USR00024,2026-05-18,Entertainment,3,12,0,1,1,9.1,4,13.17,0
SES0000163,USR00024,2026-05-11,How-to,4,21,0,0,0,,,0.0,0
SES0000164,USR00024,2026-05-24,How-to,3,21,0,1,1,8.3,1,15.43,0
SES0000165,USR00024,2026-05-05,How-to,4,11,0,1,0,14.0,2,0.53,0
SES0000166,USR00024,2026-05-25,News,4,12,0,0,0,,,0.0,0
SES0000167,USR00024,2026-05-19,Shopping,4,0,1,0,0,,,0.0,0
SES0000168,USR00024,2026-05-19,Entertainment,5,14,0,0,0,,,0.0,0
SES0000169,USR00025,2026-05-16,Music,2,22,0,1,1,13.4,1,20.32,0
SES0000170,USR00025,2026-05-11,News,5,21,0,0,0,,,0.0,0
SES0000171,USR00025,2026-05-11,Entertainment,5,22,0,1,1,13.1,1,5.12,0
SES0000172,USR00025,2026-05-16,Music,7,25,0,1,1,14.6,1,5.49,0
SES0000173,USR00025,2026-05-09,Entertainment,5,22,0,0,0,,,0.0,0
SES0000174,USR00025,2026-05-24,News,2,18,0,0,0,,,0.0,0
SES0000175,USR00026,2026-05-15,How-to,5,30,0,1,1,8.8,1,12.74,0
SES0000176,USR00026,2026-05-01,How-to,6,25,0,1,0,10.3,2,1.82,0
SES0000177,USR00026,2026-05-18,Entertainment,2,16,0,0,0,,,0.0,0
SES0000178,USR00026,2026-05-06,How-to,5,0,1,0,0,,,0.0,0
SES0000179,USR00026,2026-05-18,Music,4,24,0,0,0,,,0.0,0
SES0000180,USR00026,2026-05-02,How-to,5,23,0,1,1,13.0,5,3.34,0
SES0000181,USR00026,2026-05-22,Music,4,22,0,1,1,4.3,2,7.96,0
SES0000182,USR00026,2026-05-08,How-to,6,22,0,0,0,,,0.0,0
SES0000183,USR00026,2026-05-19,Entertainment,3,15,0,0,0,,,0.0,0
SES0000184,USR00026,2026-05-28,How-to,5,21,0,0,0,,,0.0,0
SES0000185,USR00026,2026-05-26,How-to,4,20,0,0,0,,,0.0,0
SES0000186,USR00026,2026-05-02,Shopping,5,15,0,1,1,9.5,1,11.32,0
SES0000187,USR00027,2026-05-01,Entertainment,2,17,0,1,1,14.2,2,2.55,0
SES0000188,USR00027,2026-05-05,Music,3,19,0,1,1,22.4,2,10.28,0
SES0000189,USR00027,2026-05-08,Shopping,6,19,0,0,0,,,0.0,0
SES0000190,USR00027,2026-05-04,How-to,5,16,0,0,0,,,0.0,0
SES0000191,USR00028,2026-05-09,Shopping,1,16,0,0,0,,,0.0,0
SES0000192,USR00028,2026-05-23,Entertainment,5,26,0,0,0,,,0.0,0
SES0000193,USR00028,2026-05-07,How-to,6,26,0,1,0,8.8,1,1.12,0
SES0000194,USR00028,2026-05-10,How-to,8,21,0,0,0,,,0.0,0
SES0000195,USR00029,2026-05-08,News,6,25,0,0,0,,,0.0,0
SES0000196,USR00029,2026-05-25,How-to,5,19,0,1,0,10.8,12,0.78,0
SES0000197,USR00029,2026-05-19,Entertainment,4,19,0,1,1,14.3,4,4.86,0
SES0000198,USR00029,2026-05-25,Entertainment,4,0,1,0,0,,,0.0,0
SES0000199,USR00029,2026-05-18,Music,4,20,0,0,0,,,0.0,0
SES0000200,USR00030,2026-05-20,Entertainment,3,26,0,1,1,31.3,3,2.45,0
SES0000201,USR00030,2026-05-18,Entertainment,6,23,0,0,0,,,0.0,0
SES0000202,USR00030,2026-05-11,Shopping,7,20,0,0,0,,,0.0,0
SES0000203,USR00030,2026-05-25,Music,8,25,0,1,1,11.9,1,4.06,0
SES0000204,USR00030,2026-05-14,Entertainment,1,16,0,1,1,8.0,2,9.73,0
SES0000205,USR00030,2026-05-06,How-to,7,17,0,1,1,16.0,2,4.05,0
SES0000206,USR00030,2026-05-16,Music,3,26,0,0,0,,,0.0,0
SES0000207,USR00031,2026-05-05,Music,1,26,0,1,1,4.7,1,11.34,0
SES0000208,USR00031,2026-05-04,Entertainment,4,19,0,1,1,11.3,5,16.42,0
SES0000209,USR00031,2026-05-05,News,2,15,0,1,0,13.0,1,1.62,0
SES0000210,USR00031,2026-05-20,How-to,2,17,0,1,1,14.8,9,8.58,0
SES0000211,USR00031,2026-05-28,Entertainment,1,17,0,1,1,14.1,1,3.22,0
SES0000212,USR00032,2026-05-18,How-to,6,21,0,1,1,20.7,4,2.17,0
SES0000213,USR00032,2026-05-17,Shopping,2,20,0,0,0,,,0.0,0
SES0000214,USR00032,2026-05-03,News,2,19,0,0,0,,,0.0,0
SES0000215,USR00032,2026-05-20,How-to,3,0,1,0,0,,,0.0,0
SES0000216,USR00032,2026-05-14,News,5,25,0,0,0,,,0.0,0
SES0000217,USR00032,2026-05-18,News,3,22,0,0,0,,,0.0,0
SES0000218,USR00032,2026-05-21,Entertainment,3,9,0,1,1,6.8,7,9.7,0
SES0000219,USR00033,2026-05-07,How-to,7,12,0,0,0,,,0.0,0
SES0000220,USR00033,2026-05-01,How-to,10,16,0,0,0,,,0.0,0
SES0000221,USR00033,2026-05-03,News,6,16,0,1,0,26.8,2,1.26,0
SES0000222,USR00033,2026-05-27,Shopping,4,16,0,1,1,11.2,1,2.25,0
SES0000223,USR00033,2026-05-27,News,5,16,0,1,1,11.8,2,8.73,0
SES0000224,USR00033,2026-05-04,Entertainment,6,21,0,0,0,,,0.0,0
SES0000225,USR00034,2026-05-28,News,3,16,0,1,1,8.4,1,8.4,0
SES0000226,USR00034,2026-05-28,Shopping,3,14,0,0,0,,,0.0,0
SES0000227,USR00034,2026-05-05,Entertainment,4,15,0,1,1,8.4,1,2.49,0
SES0000228,USR00034,2026-05-07,Entertainment,5,22,0,1,1,9.5,2,3.47,0
SES0000229,USR00034,2026-05-26,Entertainment,5,20,0,1,1,13.4,2,3.67,0
SES0000230,USR00034,2026-05-04,News,4,26,0,0,0,,,0.0,0
SES0000231,USR00034,2026-05-03,Entertainment,4,22,0,1,1,7.8,1,8.79,0
SES0000232,USR00035,2026-05-05,News,2,19,0,0,0,,,0.0,0
SES0000233,USR00035,2026-05-22,Music,2,22,0,0,0,,,0.0,0
SES0000234,USR00035,2026-05-25,Entertainment,3,27,0,1,1,10.3,2,16.33,0
SES0000235,USR00035,2026-05-28,Entertainment,1,25,0,0,0,,,0.0,0
SES0000236,USR00035,2026-05-01,Entertainment,6,0,1,0,0,,,0.0,0
SES0000237,USR00035,2026-05-16,Shopping,3,25,0,1,0,6.5,2,1.01,0
SES0000238,USR00035,2026-05-27,Entertainment,4,24,0,1,1,13.2,1,26.42,0
SES0000239,USR00035,2026-05-13,Music,3,15,0,1,1,6.2,2,8.99,0
SES0000240,USR00035,2026-05-21,Entertainment,6,19,0,1,1,20.2,2,20.09,0
SES0000241,USR00035,2026-05-10,Entertainment,3,21,0,1,1,13.3,1,10.67,0
SES0000242,USR00035,2026-05-22,Music,2,14,0,1,1,9.4,1,6.88,0
SES0000243,USR00036,2026-05-11,How-to,6,22,0,1,1,14.0,1,4.69,0
SES0000244,USR00037,2026-05-02,Music,4,28,0,0,0,,,0.0,0
SES0000245,USR00037,2026-05-05,News,6,29,0,1,1,15.1,1,3.0,0
SES0000246,USR00037,2026-05-10,Music,7,13,0,1,1,20.9,3,5.95,0
SES0000247,USR00037,2026-05-05,Shopping,5,17,0,0,0,,,0.0,0
SES0000248,USR00037,2026-05-24,News,4,16,0,1,0,6.4,2,0.13,0
SES0000249,USR00037,2026-05-07,Music,6,21,0,1,1,8.3,3,2.1,0
SES0000250,USR00037,2026-05-03,Entertainment,6,20,0,1,0,12.4,5,1.94,0
SES0000251,USR00038,2026-05-12,How-to,7,18,0,0,0,,,0.0,0
SES0000252,USR00038,2026-05-28,How-to,1,16,0,1,1,24.5,2,5.17,0
SES0000253,USR00038,2026-05-21,Entertainment,4,17,0,0,0,,,0.0,0
SES0000254,USR00038,2026-05-28,Shopping,4,0,1,0,0,,,0.0,0
SES0000255,USR00038,2026-05-09,How-to,3,16,0,1,0,22.5,3,1.77,0
SES0000256,USR00038,2026-05-22,Music,3,19,0,1,1,9.8,5,14.66,0
SES0000257,USR00038,2026-05-12,How-to,5,13,0,1,1,16.3,1,15.29,0
SES0000258,USR00038,2026-05-24,News,6,13,0,1,1,16.2,5,17.17,0
SES0000259,USR00038,2026-05-25,Shopping,6,15,0,1,1,10.8,5,7.49,0
SES0000260,USR00038,2026-05-06,How-to,3,17,0,1,1,16.8,4,5.3,0
SES0000261,USR00039,2026-05-24,Music,2,9,0,1,1,9.8,3,30.52,0
SES0000262,USR00039,2026-05-14,Entertainment,3,23,0,0,0,,,0.0,0
SES0000263,USR00039,2026-05-19,News,7,29,0,1,0,7.2,5,1.77,0
SES0000264,USR00039,2026-05-02,News,4,20,0,1,1,7.4,2,3.15,0
SES0000265,USR00039,2026-05-04,Music,4,21,0,1,1,6.5,1,7.25,0
SES0000266,USR00039,2026-05-24,Shopping,8,23,0,1,1,9.9,1,5.12,0
SES0000267,USR00039,2026-05-07,News,3,21,0,1,1,14.5,3,9.79,0
SES0000268,USR00040,2026-05-21,How-to,4,20,0,1,1,9.2,2,15.7,0
SES0000269,USR00040,2026-05-24,Music,5,21,0,1,1,6.7,1,5.48,0
SES0000270,USR00040,2026-05-06,Entertainment,2,0,1,0,0,,,0.0,0
SES0000271,USR00040,2026-05-15,How-to,4,12,0,1,1,5.3,3,8.19,0
SES0000272,USR00040,2026-05-23,Entertainment,10,24,0,1,1,20.4,1,9.29,0
SES0000273,USR00041,2026-05-10,Music,2,18,0,1,1,7.9,2,15.29,0
SES0000274,USR00041,2026-05-09,How-to,5,15,0,0,0,,,0.0,0
SES0000275,USR00041,2026-05-13,How-to,4,17,0,1,1,14.1,1,3.59,0
SES0000276,USR00041,2026-05-14,News,1,0,1,0,0,,,0.0,0
SES0000277,USR00041,2026-05-06,Music,7,18,0,1,1,9.5,1,7.36,0
SES0000278,USR00041,2026-05-02,News,6,19,0,1,1,9.1,4,6.46,0
SES0000279,USR00042,2026-05-21,How-to,4,18,0,1,1,16.4,5,4.47,0
SES0000280,USR00042,2026-05-12,Shopping,3,0,1,0,0,,,0.0,0
SES0000281,USR00042,2026-05-08,How-to,2,21,0,1,1,4.8,2,3.9,0
SES0000282,USR00042,2026-05-12,Music,4,19,0,1,1,13.4,3,2.91,0
SES0000283,USR00042,2026-05-14,How-to,7,19,0,0,0,,,0.0,0
SES0000284,USR00042,2026-05-13,How-to,3,22,0,0,0,,,0.0,0
SES0000285,USR00043,2026-05-08,Music,4,19,0,1,1,11.4,3,17.67,0
SES0000286,USR00043,2026-05-25,How-to,3,16,0,1,1,20.3,1,2.51,0
SES0000287,USR00043,2026-05-18,News,4,18,0,1,0,8.8,2,1.81,0
SES0000288,USR00043,2026-05-05,Entertainment,2,24,0,1,1,18.3,4,7.87,0
SES0000289,USR00043,2026-05-07,Entertainment,7,15,0,1,0,14.6,1,0.55,0
SES0000290,USR00043,2026-05-26,Entertainment,3,13,0,0,0,,,0.0,0
SES0000291,USR00044,2026-05-19,How-to,2,14,0,0,0,,,0.0,0
SES0000292,USR00044,2026-05-26,Entertainment,4,12,0,1,1,9.1,4,7.39,0
SES0000293,USR00044,2026-05-10,Entertainment,5,22,0,0,0,,,0.0,0
SES0000294,USR00044,2026-05-10,News,1,0,1,0,0,,,0.0,0
SES0000295,USR00044,2026-05-25,News,2,22,0,0,0,,,0.0,0
SES0000296,USR00044,2026-05-04,How-to,9,25,0,1,1,8.0,1,8.47,0
SES0000297,USR00044,2026-05-20,Entertainment,5,18,0,0,0,,,0.0,0
SES0000298,USR00045,2026-05-12,Shopping,7,16,0,1,1,12.7,2,6.46,0
SES0000299,USR00045,2026-05-11,Music,5,22,0,0,0,,,0.0,0
SES0000300,USR00045,2026-05-04,Entertainment,2,15,0,1,1,7.4,3,2.66,0
SES0000301,USR00045,2026-05-07,Entertainment,3,0,1,0,0,,,0.0,0
SES0000302,USR00045,2026-05-20,How-to,2,22,0,1,0,13.3,4,1.78,0
SES0000303,USR00046,2026-05-26,Shopping,2,22,0,1,1,11.4,6,5.93,0
SES0000304,USR00046,2026-05-25,How-to,4,24,0,1,1,8.9,2,4.9,0
SES0000305,USR00046,2026-05-16,News,6,16,0,1,1,24.7,9,14.9,0
SES0000306,USR00046,2026-05-12,News,3,27,0,0,0,,,0.0,0
SES0000307,USR00046,2026-05-14,Entertainment,7,19,0,1,1,12.0,9,14.55,0
SES0000308,USR00046,2026-05-12,Entertainment,4,17,0,0,0,,,0.0,0
SES0000309,USR00046,2026-05-27,Music,3,21,0,0,0,,,0.0,0
SES0000310,USR00046,2026-05-12,Music,4,25,0,1,1,12.4,5,27.61,0
SES0000311,USR00046,2026-05-23,Shopping,5,16,0,0,0,,,0.0,0
SES0000312,USR00046,2026-05-17,Shopping,2,20,0,1,1,4.3,1,12.17,0
SES0000313,USR00046,2026-05-25,News,5,0,1,0,0,,,0.0,0
SES0000314,USR00047,2026-05-20,Shopping,4,16,0,1,1,7.3,2,7.36,0
SES0000315,USR00047,2026-05-05,How-to,4,0,1,0,0,,,0.0,0
SES0000316,USR00047,2026-05-26,Entertainment,4,22,0,0,0,,,0.0,0
SES0000317,USR00047,2026-05-24,Entertainment,2,22,0,1,1,15.5,4,6.62,0
SES0000318,USR00047,2026-05-05,Entertainment,2,18,0,1,1,4.9,5,12.77,0
SES0000319,USR00047,2026-05-06,Music,1,24,0,0,0,,,0.0,0
SES0000320,USR00047,2026-05-03,Shopping,1,12,0,1,1,17.8,2,4.09,0
SES0000321,USR00048,2026-05-06,How-to,3,0,1,0,0,,,0.0,0
SES0000322,USR00048,2026-05-09,How-to,6,21,0,1,1,3.1,4,3.96,0
SES0000323,USR00048,2026-05-05,Music,6,23,0,0,0,,,0.0,0
SES0000324,USR00048,2026-05-18,Entertainment,2,20,0,1,1,17.0,5,2.14,0
SES0000325,USR00048,2026-05-08,Music,5,17,0,0,0,,,0.0,0
